obs #,SUBJECT ,DD-MM,YEAR,GROUP,FEM RANK,PLATF CONDITION,CYCLE #,MONO/PROMIS (COP)
1,EST,7/31,2012,MAC,2,DISPERSED,2,
2,EST,8/17,2012,MAC,2,DISPERSED,3,0
3,EST,8/18,2012,MAC,2,DISPERSED,3,0
4,EST,5/5,2013,MAC,2,CLUMPED,1,0
5,EST,5/23,2013,MAC,2,CLUMPED,2,1
6,EST,6/28,2013,MAC,2,CLUMPED,3,
7,ING,5/14,2012,MAC,4,DISPERSED,1,
8,ING,5/15,2012,MAC,4,DISPERSED,1,
9,ING,6/3,2012,MAC,4,DISPERSED,2,
10,ING,6/4,2012,MAC,4,DISPERSED,2,1
11,ING,6/5,2012,MAC,4,DISPERSED,2,
12,ING,6/6,2012,MAC,4,DISPERSED,2,1
13,TH,6/11,2012,MAC,1,DISPERSED,1,
14,TH,6/12,2012,MAC,1,DISPERSED,1,1
15,TH,6/13,2012,MAC,1,DISPERSED,1,
16,TH,6/14,2012,MAC,1,DISPERSED,1,
17,TH,7/27,2012,MAC,1,DISPERSED,2,0
18,TH,7/28,2012,MAC,1,DISPERSED,2,0
19,TH,7/29,2012,MAC,1,DISPERSED,2,
20,TH,7/30,2012,MAC,1,DISPERSED,2,
21,TH,8/18,2012,MAC,1,DISPERSED,3,
22,TH,8/19,2012,MAC,1,DISPERSED,3,
23,TH,8/20,2012,MAC,1,DISPERSED,3,
24,YO,5/11,2012,MAC,3,DISPERSED,1,
25,YO,5/12,2012,MAC,3,DISPERSED,1,
26,YO,5/13,2012,MAC,3,DISPERSED,1,
27,YO,5/14,2012,MAC,3,DISPERSED,1,
28,YO,5/15,2012,MAC,3,DISPERSED,1,
29,YO,5/16,2012,MAC,3,DISPERSED,1,
30,YO,5/17,2012,MAC,3,DISPERSED,1,1
31,YO,6/7,2012,MAC,3,DISPERSED,2,
32,YO,6/8,2012,MAC,3,DISPERSED,2,1
33,YO,6/9,2012,MAC,3,DISPERSED,2,1
34,YO,6/10,2012,MAC,3,DISPERSED,2,0
35,YO,6/30,2012,MAC,3,DISPERSED,3,
36,YO,7/1,2012,MAC,3,DISPERSED,3,
37,YO,7/2,2012,MAC,3,DISPERSED,3,1
38,YO,7/3,2012,MAC,3,DISPERSED,3,
39,YO,7/24,2012,MAC,3,DISPERSED,4,
40,YO,7/25,2012,MAC,3,DISPERSED,4,
41,YO,7/26,2012,MAC,3,DISPERSED,4,0
42,YO,7/27,2012,MAC,3,DISPERSED,4,0
43,MAW,5/13,2012,MAC,5.5,DISPERSED,1,
44,MAW,5/14,2012,MAC,5.5,DISPERSED,1,
45,MAW ,5/26,2012,MAC,5.5,DISPERSED,2,1
46,MAW,5/27,2012,MAC,5.5,DISPERSED,2,
47,MAW,5/28,2012,MAC,5.5,DISPERSED,2,
48,MAW,5/29,2012,MAC,5.5,DISPERSED,2,1
49,MAW,5/30,2012,MAC,5.5,DISPERSED,2,1
50,OFE,5/27,2012,MAC,5.5,DISPERSED,2,
51,OFE,5/28,2012,MAC,5.5,DISPERSED,2,
52,OFE,5/29,2012,MAC,5.5,DISPERSED,2,
53,OFE,7/6,2012,MAC,5.5,DISPERSED,4,
54,OFE,7/7,2012,MAC,5.5,DISPERSED,4,
55,OFE,7/8,2012,MAC,5.5,DISPERSED,4,1
56,OFE,7/9,2012,MAC,5.5,DISPERSED,4,1
57,OFE,7/10,2012,MAC,5.5,DISPERSED,4,1
58,OFE,7/11,2012,MAC,5.5,DISPERSED,4,1
59,OFE,8/3,2012,MAC,5.5,DISPERSED,5,
60,OFE,8/4,2012,MAC,5.5,DISPERSED,5,1
61,OFE,8/5,2012,MAC,5.5,DISPERSED,5,1
62,OFE,8/6,2012,MAC,5.5,DISPERSED,5,
63,OFE,8/7,2012,MAC,5.5,DISPERSED,5,
64,OFE,8/8,2012,MAC,5.5,DISPERSED,5,
65,SOL,5/25,2012,MAC,7.5,DISPERSED,1,0
66,SOL,5/26,2012,MAC,7.5,DISPERSED,1,
