obs #,SUBJECT ,DD-MM,YEAR,GROUP,FEM RANK,PLATF CONDITION,CYCLE #,Prop SOLIC to ALPHA
120,COR,29-May,2013,MAC,7.5,CLUMPED,1,
121,COR,30-May,2013,MAC,7.5,CLUMPED,1,
122,COR,10-Jun,2013,MAC,7.5,CLUMPED,2,1
123,COR,11-Jun,2013,MAC,7.5,CLUMPED,2,1
124,COR,12-Jun,2013,MAC,7.5,CLUMPED,2,1
125,COR,13-Jun,2013,MAC,7.5,CLUMPED,2,1
126,COR,14-Jun,2013,MAC,7.5,CLUMPED,2,1
127,COR,15-Jun,2013,MAC,7.5,CLUMPED,2,1
128,COR,16-Jun,2013,MAC,7.5,CLUMPED,2,1
129,COR,28-Jun,2013,MAC,7.5,CLUMPED,3,0
130,COR,29-Jun,2013,MAC,7.5,CLUMPED,3,0
131,COR,30-Jun,2013,MAC,7.5,CLUMPED,3,
132,COR,1-Jul,2013,MAC,7.5,CLUMPED,3,0
133,COR,2-Jul,2013,MAC,7.5,CLUMPED,3,0
134,COR,3-Jul,2013,MAC,7.5,CLUMPED,3,
135,COR,4-Jul,2013,MAC,7.5,CLUMPED,3,1
136,COR,5-Jul,2013,MAC,7.5,CLUMPED,3,1
137,COR,21-Jul,2013,MAC,7.5,CLUMPED,4,1
138,COR,22-Jul,2013,MAC,7.5,CLUMPED,4,1
139,COR,23-Jul,2013,MAC,7.5,CLUMPED,4,1
140,COR,24-Jul,2013,MAC,7.5,CLUMPED,4,1
141,COR,25-Jul,2013,MAC,7.5,CLUMPED,4,1
142,COR,26-Jul,2013,MAC,7.5,CLUMPED,4,1
143,COR,15-Aug,2013,MAC,7.5,CLUMPED,5,
144,COR,16-Aug,2013,MAC,7.5,CLUMPED,5,0
145,COR,17-Aug,2013,MAC,7.5,CLUMPED,5,1
146,COR,18-Aug,2013,MAC,7.5,CLUMPED,5,1
147,COR,19-Aug,2013,MAC,7.5,CLUMPED,5,
4,EST,5-May,2013,MAC,2,CLUMPED,1,0
5,EST,23-May,2013,MAC,2,CLUMPED,2,1
6,EST,28-Jun,2013,MAC,2,CLUMPED,3,0
148,EST,2-May,2013,MAC,2,CLUMPED,1,
149,EST,23-May,2013,MAC,2,CLUMPED,2,
150,EST,28-Jun,2013,MAC,2,CLUMPED,3,
94,ING,10-Jul,2013,MAC,4,CLUMPED,1,1
95,ING,11-Jul,2013,MAC,4,CLUMPED,1,1
96,ING,12-Jul,2013,MAC,4,CLUMPED,1,1
97,ING,27-Jul,2013,MAC,4,CLUMPED,2,1
98,ING,28-Jul,2013,MAC,4,CLUMPED,2,1
99,ING,29-Jul,2013,MAC,4,CLUMPED,2,1
100,ING,30-Jul,2013,MAC,4,CLUMPED,2,1
101,ING,31-Jul,2013,MAC,4,CLUMPED,2,1
108,OFE,27-May,2013,MAC,5.5,CLUMPED,2,
109,OFE,28-May,2013,MAC,5.5,CLUMPED,2,
